Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/25/2020 11:30,27.4,1,16.18,1,738,1,7.55,1,1.63,1,11.87,1
6/25/2020 11:45,27.4,1,14.87,1,739,1,7.55,1,1.63,1,11.31,1
6/25/2020 12:00,27.5,1,15.83,1,739,1,7.56,1,1.68,1,12.08,1
6/25/2020 12:15,27.5,1,15.7,1,739,1,7.56,1,1.68,1,12.23,1
6/25/2020 12:30,27.5,1,15.41,1,740,1,7.56,1,1.62,1,14.43,1
6/25/2020 12:45,27.5,1,16.34,1,740,1,7.56,1,1.62,1,11.42,1
6/25/2020 13:00,27.5,1,15.53,1,742,1,7.56,1,1.64,1,11.21,1
6/25/2020 13:15,27.5,1,16.23,1,742,1,7.56,1,1.59,1,11.24,1
6/25/2020 13:30,27.6,1,18.49,1,743,1,7.56,1,1.63,1,10.43,1
6/25/2020 13:45,27.6,1,16.37,1,743,1,7.56,1,1.65,1,11.29,1
6/25/2020 14:00,27.6,1,18.12,1,744,1,7.57,1,1.73,1,12.03,1
6/25/2020 14:15,27.6,1,17.05,1,745,1,7.57,1,1.74,1,10.51,1
6/25/2020 14:30,27.6,1,18.25,1,745,1,7.57,1,1.72,1,10.96,1
6/25/2020 14:45,27.6,1,16.43,1,745,1,7.57,1,1.75,1,9.82,1
6/25/2020 15:00,27.6,1,15.98,1,746,1,7.57,1,1.72,1,10.42,1
6/25/2020 15:15,27.6,1,19.58,1,747,1,7.57,1,1.73,1,10.44,1
6/25/2020 15:30,27.7,1,23.97,1,747,1,7.57,1,1.78,1,11.27,1
6/25/2020 15:45,27.7,1,21.61,1,747,1,7.57,1,1.74,1,9.67,1
6/25/2020 16:00,27.7,1,21.76,1,748,1,7.58,1,1.82,1,11.24,1
6/25/2020 16:15,27.6,1,19.5,1,749,1,7.57,1,1.63,1,9.6,1
6/25/2020 16:30,27.7,1,17.67,1,749,1,7.57,1,1.62,1,10.41,1
6/25/2020 16:45,27.7,1,19.37,1,749,1,7.57,1,1.6,1,8.46,1
6/25/2020 17:00,27.7,1,25.4,1,749,1,7.58,1,1.73,1,9.92,1
6/25/2020 17:15,27.8,1,23.64,1,750,1,7.58,1,1.87,1,11.74,1
6/25/2020 17:30,27.8,1,23.82,1,751,1,7.59,1,1.94,1,10.94,1
6/25/2020 17:45,27.8,1,21.37,1,752,1,7.59,1,1.85,1,13.6,1
6/25/2020 18:00,27.8,1,20.69,1,752,1,7.59,1,1.86,1,12.53,1
6/25/2020 18:15,27.8,1,19.3,1,753,1,7.58,1,1.75,1,10.29,1
6/25/2020 18:30,27.8,1,18.97,1,753,1,7.58,1,1.76,1,11.96,1
6/25/2020 18:45,27.8,1,17.38,1,754,1,7.58,1,1.68,1,12.06,1
6/25/2020 19:00,27.8,1,17.04,1,754,1,7.58,1,1.61,1,10.61,1
6/25/2020 19:15,27.8,1,17.32,1,755,1,7.58,1,1.57,1,11.03,1
6/25/2020 19:30,27.7,1,18.72,1,755,1,7.57,1,1.5,1,10.14,1
6/25/2020 19:45,27.8,1,16.97,1,755,1,7.58,1,1.53,1,11.31,1
6/25/2020 20:00,27.8,1,21.52,1,755,1,7.58,1,1.61,1,11.7,1
6/25/2020 20:15,27.8,1,23.18,1,755,1,7.58,1,1.56,1,12.19,1
6/25/2020 20:30,27.8,1,23.09,1,756,1,7.58,1,1.62,1,11.36,1
6/25/2020 20:45,27.9,1,20.85,1,756,1,7.58,1,1.63,1,12.78,1
6/25/2020 21:00,27.9,1,21.14,1,756,1,7.59,1,1.69,1,13.17,1
6/25/2020 21:15,27.9,1,16.58,1,756,1,7.59,1,1.74,1,13.56,1
6/25/2020 21:30,27.8,1,15.79,1,757,1,7.58,1,1.48,1,13.43,1
6/25/2020 21:45,27.7,1,18.01,1,757,1,7.56,1,1.11,1,10.26,1
6/25/2020 22:00,27.9,1,16.54,1,757,1,7.58,1,1.45,1,11.76,1
6/25/2020 22:15,27.9,1,17.16,1,758,1,7.59,1,1.55,1,13.66,1
6/25/2020 22:30,27.8,1,17.58,1,758,1,7.59,1,1.41,1,11.5,1
6/25/2020 22:45,27.8,1,19.02,1,758,1,7.58,1,1.32,1,12.41,1
6/25/2020 23:00,27.7,1,17.46,1,759,1,7.57,1,1.05,1,11.78,1
6/25/2020 23:15,27.6,1,20.11,1,760,1,7.56,1,0.78,1,11.54,1
6/25/2020 23:30,27.7,1,24.83,1,759,1,7.57,1,0.93,1,12.31,1
6/25/2020 23:45,27.5,1,26.8,1,761,1,7.55,1,0.58,1,11.72,1
6/26/2020 0:00,27.5,1,22.34,1,761,1,7.55,1,0.7,1,11.96,1
6/26/2020 0:15,27.4,1,29.45,1,764,1,7.55,1,0.45,1,12.28,1
6/26/2020 0:30,27.2,1,29.29,1,766,1,7.54,1,0.36,1,13.99,1
6/26/2020 0:45,27.3,1,33,1,766,1,7.56,1,0.83,1,14.95,1
6/26/2020 1:00,27.5,1,24.42,1,764,1,7.58,1,1.31,1,16.84,1
6/26/2020 1:15,27.8,1,20.11,1,760,1,7.66,1,2.7,1,16.49,1
6/26/2020 1:30,27.8,1,21.18,1,760,1,7.67,1,2.8,1,17.13,1
6/26/2020 1:45,27.8,1,24.52,1,760,1,7.67,1,2.81,1,15.16,1
6/26/2020 2:00,27.7,1,22.56,1,760,1,7.68,1,2.82,1,18.1,1
6/26/2020 2:15,27.7,1,25.62,1,760,1,7.68,1,2.89,1,17.27,1
6/26/2020 2:30,27.7,1,22.16,1,760,1,7.69,1,2.93,1,15.71,1
6/26/2020 2:45,27.6,1,22.82,1,760,1,7.68,1,2.77,1,16.76,1
6/26/2020 3:00,27.6,1,20.49,1,760,1,7.67,1,2.68,1,17.26,1
6/26/2020 3:15,27.5,1,22.67,1,760,1,7.67,1,2.61,1,18.86,1
6/26/2020 3:30,27.5,1,20.11,1,760,1,7.67,1,2.56,1,16.04,1
6/26/2020 3:45,27.5,1,19.3,1,760,1,7.66,1,2.58,1,17.94,1
6/26/2020 4:00,27.5,1,20.82,1,760,1,7.67,1,2.48,1,15.54,1
6/26/2020 4:15,27.4,1,20.29,1,760,1,7.66,1,2.33,1,16.38,1
6/26/2020 4:30,27.4,1,19.91,1,760,1,7.66,1,2.29,1,17.22,1
6/26/2020 4:45,27.4,1,19.51,1,760,1,7.66,1,2.36,1,15.37,1
6/26/2020 5:00,27.4,1,18,1,761,1,7.66,1,2.23,1,17.52,1
6/26/2020 5:15,27.4,1,18.53,1,761,1,7.65,1,2.18,1,16.48,1
6/26/2020 5:30,27.3,1,19,1,761,1,7.65,1,2.13,1,15.65,1
6/26/2020 5:45,27.4,1,19.7,1,761,1,7.66,1,2.24,1,17.73,1
6/26/2020 6:00,27.4,1,20.37,1,761,1,7.66,1,2.2,1,18.69,1
6/26/2020 6:15,27.3,1,20.32,1,761,1,7.66,1,2.1,1,16.49,1
6/26/2020 6:30,27.3,1,21.52,1,761,1,7.65,1,2.07,1,17.11,1
6/26/2020 6:45,27.4,1,18.83,1,761,1,7.66,1,2.1,1,16.76,1
6/26/2020 7:00,27.4,1,19.52,1,761,1,7.65,1,2.06,1,17.74,1
6/26/2020 7:15,27.4,1,17.93,1,761,1,7.65,1,2.01,1,18.25,1
6/26/2020 7:30,27.4,1,19.36,1,761,1,7.65,1,1.98,1,18.23,1
6/26/2020 7:45,27.4,1,18.87,1,761,1,7.65,1,1.98,1,15.87,1
6/26/2020 8:00,27.4,1,17.9,1,761,1,7.65,1,1.98,1,18.96,1
6/26/2020 8:15,27.5,1,20.7,1,761,1,7.66,1,2.06,1,17.96,1
6/26/2020 8:30,27.5,1,20.34,1,761,1,7.66,1,2.1,1,26.39,1
6/26/2020 8:45,27.5,1,18.87,1,762,1,7.66,1,2.07,1,18.06,1
6/26/2020 9:00,27.5,1,19.94,1,762,1,7.66,1,1.99,1,16.1,1
